call_price,path
360.893,2,
240.596,3,
197.183,4,
166.418,5,
138.681,6,
120.762,7,
108.13,8,
98.2263,9,
89.7918,10,
81.6289,11,
78.7833,12,
72.7231,13,
75.3054,14,
72.4949,15,
68.2055,16,
66.1462,17,
62.6847,18,
64.3876,19,
61.1683,20,
58.6353,21,
57.1744,22,
55.4672,23,
53.7761,24,
53.9165,25,
51.8428,26,
49.9227,27,
52.5079,28,
50.6972,29,
52.4549,30,
51.3674,31,
50.2031,32,
49.6593,33,
48.3272,34,
46.9464,35,
51.0493,36,
49.8851,37,
49.2698,38,
48.0064,39,
49.1582,40,
48.2107,41,
47.6173,42,
47.3024,43,
46.3036,44,
45.8054,45,
45.0239,46,
46.0325,47,
45.0735,48,
45.3964,49,
44.4885,50,
43.9792,51,
43.4088,52,
42.5897,53,
43.3025,54,
43.067,55,
42.3959,56,
41.8312,57,
41.5138,58,
41.4176,59,
40.7678,60,
41.4452,61,
40.7768,62,
40.834,63,
40.1959,64,
39.5792,65,
39.596,66,
39.005,67,
40.0269,68,
40.0334,69,
39.4644,70,
38.9695,71,
38.8772,72,
38.7298,73,
38.2996,74,
38.3686,75,
37.8638,76,
39.7977,77,
39.2874,78,
38.8757,79,
38.7438,80,
38.2654,81,
38.3226,82,
39.7135,83,
39.2407,84,
39.2334,85,
38.7895,86,
38.838,87,
38.3967,88,
38.3034,89,
37.9405,90,
37.5236,91,
38.1008,92,
37.9923,93,
37.6622,94,
38.0247,95,
37.6286,96,
37.2485,97,
37.269,98,
37.0101,99,
36.856,100,
36.9373,101,
36.5752,102,
36.3625,103,
36.1872,104,
35.8426,105,
35.9232,106,
35.5959,107,
35.627,108,
35.3584,109,
35.3002,110,
34.9821,111,
35.1864,112,
35.0107,113,
34.8565,114,
35.2213,115,
34.9177,116,
35.3166,117,
35.0173,118,
34.7231,119,
35.2519,120,
35.6187,121,
35.3267,122,
35.1755,123,
35.021,124,
34.8821,125,
34.7252,126,
34.4812,127,
34.4727,128,
35.4978,129,
35.2247,130,
35.0772,131,
34.9391,132,
34.679,133,
34.7199,134,
34.4627,135,
34.8095,136,
35.3175,137,
35.0616,138,
34.8093,139,
35.2038,140,
35.0706,141,
34.9385,142,
34.7503,143,
34.6925,144,
34.4604,145,
34.4892,146,
34.8239,147,
34.5886,148,
34.4823,149,
34.3464,150,
34.2095,151,
34.111,152,
34.5368,153,
34.3125,154,
34.0911,155,
34.5534,156,
34.6153,157,
34.3962,158,
34.4671,159,
34.2517,160,
34.3903,161,
34.1781,162,
33.9684,163,
34.1809,164,
33.9737,165,
34.7228,166,
34.7202,167,
34.5328,168,
34.7243,169,
34.52,170,
34.4807,171,
34.3215,172,
34.3572,173,
34.1609,174,
34.1885,175,
33.9992,176,
35.8142,177,
35.613,178,
35.8244,179,
35.6254,180,
35.4285,181,
35.4817,182,
35.3038,183,
35.3016,184,
35.1422,185,
35.1136,186,
35.019,187,
34.9143,188,
34.857,189,
34.7247,190,
34.8614,191,
34.6799,192,
