call_price,path
0,2,
14.4518,3,
14.151,4,
15.1195,5,
12.5996,6,
10.7997,7,
13.5931,8,
15.7714,9,
23.6983,10,
22.2691,11,
21.9056,12,
24.6271,13,
22.8681,14,
21.3435,15,
21.1809,16,
21.8326,17,
20.6197,18,
19.954,19,
18.9563,20,
18.5444,21,
19.2505,22,
19.4518,23,
22.4926,24,
24.0286,25,
23.8166,26,
22.9345,27,
23.1993,28,
22.7512,29,
23.1874,30,
25.0875,31,
25.6904,32,
24.9152,33,
24.1824,34,
24.648,35,
24.0835,36,
24.1923,37,
24.6999,38,
28.8556,39,
28.3032,40,
27.6129,41,
30.6165,42,
30.8027,43,
31.0802,44,
31.0582,45,
30.383,46,
30.3325,47,
31.2027,48,
30.5814,49,
30.2026,50,
30.4941,51,
30.1897,52,
29.6201,53,
29.0882,54,
28.6749,55,
28.1629,56,
27.9378,57,
28.7804,58,
29.6756,59,
29.181,60,
30.008,61,
29.7938,62,
29.6011,63,
29.1969,64,
31.3125,65,
31.0791,66,
30.6203,67,
30.17,68,
31.246,69,
30.7996,70,
30.5971,71,
30.2836,72,
29.883,73,
30.6101,74,
30.4519,75,
30.2312,76,
31.1277,77,
30.7286,78,
30.9001,79,
31.0846,80,
31.3994,81,
31.0165,82,
30.6428,83,
30.6861,84,
31.1119,85,
31.0734,86,
31.1817,87,
31.2705,88,
34.9108,89,
35.3389,90,
34.9506,91,
34.6023,92,
34.2928,93,
34.1132,94,
34.0076,95,
34.2872,96,
34.0361,97,
34.2985,98,
33.9575,99,
33.7196,100,
33.5775,101,
33.3849,102,
33.0771,103,
32.7591,104,
32.4471,105,
32.3515,106,
32.5291,107,
32.2279,108,
32.1077,109,
31.9636,110,
32.6769,111,
32.7623,112,
32.6567,113,
33.0213,114,
32.9717,115,
33.2037,116,
32.9199,117,
32.6409,118,
32.6823,119,
32.41,120,
32.1421,121,
31.8859,122,
31.6266,123,
31.4529,124,
31.2013,125,
31.2468,126,
31.7656,127,
31.5174,128,
31.2731,129,
31.0605,130,
31.3798,131,
31.3704,132,
31.1346,133,
31.1518,134,
30.9812,135,
30.8142,136,
30.7086,137,
30.4861,138,
30.4374,139,
30.6539,140,
30.6066,141,
31.174,142,
31.1026,143,
30.8866,144,
31.7486,145,
31.5976,146,
31.3827,147,
31.3174,148,
31.1072,149,
31.003,150,
30.8881,151,
31.4553,152,
31.2497,153,
31.0468,154,
30.8707,155,
30.8508,156,
30.6543,157,
30.6505,158,
30.6276,159,
30.7579,160,
30.5669,161,
30.4681,162,
30.3326,163,
30.1476,164,
29.9649,165,
30.2567,166,
30.141,167,
29.9616,168,
30.4008,169,
30.2797,170,
30.1026,171,
30.3486,172,
30.1732,173,
29.9998,174,
29.8284,175,
29.6973,176,
29.5295,177,
29.3636,178,
29.4669,179,
29.3754,180,
29.2447,181,
29.1543,182,
29.2825,183,
29.6298,184,
29.6323,185,
29.473,186,
29.4931,187,
29.7696,188,
29.6121,189,
29.7971,190,
29.7153,191,
29.6483,192,
29.6239,193,
29.7515,194,
29.8215,195,
29.7382,196,
30.1327,197,
30.1226,198,
30.0308,199,
30.1601,200,
30.1809,201,
30.2095,202,
30.8913,203,
31.2802,204,
31.431,205,
31.2873,206,
31.2297,207,
31.1638,208,
31.0147,209,
30.9149,210,
30.8763,211,
31.0581,212,
30.9682,213,
31.0085,214,
31.1767,215,
31.2069,216,
31.2983,217,
31.3222,218,
31.3677,219,
31.2251,220,
31.4121,221,
31.3533,222,
31.2737,223,
31.1341,224,
31.1619,225,
31.0927,226,
31.0961,227,
31.1067,228,
30.9709,229,
31.2059,230,
31.3574,231,
31.541,232,
31.4912,233,
31.3566,234,
31.277,235,
31.8989,236,
31.7643,237,
31.6826,238,
31.5648,239,
31.5063,240,
31.6703,241,
31.5885,242,
31.5157,243,
31.6004,244,
31.499,245,
31.3709,246,
32.5483,247,
32.4171,248,
32.3989,249,
32.3752,250,
32.2462,251,
32.1183,252,
32.1739,253,
32.2018,254,
32.0902,255,
32.0051,256,
32.0112,257,
32.0164,258,
31.8928,259,
31.9953,260,
32.0138,261,
32.1083,262,
31.9862,263,
31.865,264,
31.9133,265,
31.8979,266,
31.7784,267,
31.6598,268,
31.5421,269,
31.4562,270,
31.7392,271,
32.0057,272,
31.9193,273,
31.8048,274,
31.8154,275,
31.7055,276,
31.7599,277,
31.8182,278,
31.7423,279,
31.6338,280,
31.5213,281,
31.4095,282,
31.2985,283,
31.7365,284,
31.6251,285,
31.7063,286,
31.5958,287,
31.5172,288,
31.4947,289,
31.3861,290,
31.4731,291,
31.3653,292,
31.8444,293,
31.7361,294,
31.6285,295,
31.5217,296,
31.4156,297,
31.4052,298,
31.4179,299,
31.4795,300,
31.492,301,
31.5299,302,
31.5317,303,
31.5207,304,
31.4174,305,
31.3956,306,
31.2933,307,
31.2038,308,
31.2182,309,
31.1175,310,
31.1604,311,
31.1196,312,
31.0865,313,
31.0633,314,
30.9787,315,
30.9948,316,
30.897,317,
30.7999,318,
30.7511,319,
30.8568,320,
30.9274,321,
30.8966,322,
30.9276,323,
30.843,324,
30.7481,325,
30.711,326,
30.6268,327,
30.606,328,
30.5671,329,
30.5086,330,
30.4164,331,
30.3461,332,
30.2809,333,
30.2273,334,
30.1805,335,
30.1152,336,
30.0294,337,
29.9405,338,
29.873,339,
29.7852,340,
29.7926,341,
29.8016,342,
29.7656,343,
29.7937,344,
29.8186,345,
30.0273,346,
29.9794,347,
30.1768,348,
30.1015,349,
30.0537,350,
30.0186,351,
30.0218,352,
29.9629,353,
29.9502,354,
30.334,355,
30.2488,356,
30.2541,357,
30.1845,358,
30.1554,359,
30.1221,360,
30.1963,361,
30.1129,362,
30.0323,363,
30.0299,364,
30.0027,365,
30.1547,366,
30.0736,367,
30.3418,368,
30.2596,369,
30.3409,370,
30.3533,371,
30.3068,372,
30.3711,373,
30.2898,374,
30.2091,375,
30.226,376,
30.2431,377,
30.1939,378,
30.1757,379,
30.2088,380,
30.6274,381,
30.6393,382,
30.5624,383,
30.595,384,
30.5156,385,
30.4365,386,
30.3993,387,
30.321,388,
30.243,389,
30.3682,390,
30.4128,391,
30.4424,392,
30.3946,393,
30.3174,394,
30.3002,395,
30.2687,396,
30.1924,397,
30.1667,398,
30.1121,399,
30.0368,400,
29.9822,401,
29.9761,402,
29.9784,403,
29.9954,404,
29.9695,405,
29.8987,406,
29.9581,407,
29.9023,408,
29.9123,409,
29.847,410,
29.7744,411,
29.7021,412,
29.6739,413,
29.7148,414,
29.6432,415,
29.5719,416,
29.501,417,
29.4304,418,
29.4527,419,
29.3881,420,
29.3183,421,
29.2836,422,
29.2454,423,
29.2188,424,
29.1791,425,
29.1107,426,
29.0462,427,
29.1137,428,
29.1277,429,
29.1132,430,
29.1231,431,
29.0662,432,
28.9991,433,
29.3184,434,
29.2965,435,
29.2293,436,
29.3077,437,
29.2408,438,
29.1915,439,
29.1605,440,
29.1459,441,
29.1725,442,
29.1816,443,
29.1593,444,
29.0938,445,
29.0285,446,
29.2634,447,
29.1981,448,
29.146,449,
29.1396,450,
29.1319,451,
29.0674,452,
29.0489,453,
29.2269,454,
29.1763,455,
29.2416,456,
29.4742,457,
29.4099,458,
29.3458,459,
29.3055,460,
29.3579,461,
29.4608,462,
29.3971,463,
29.4289,464,
29.441,465,
29.4052,466,
29.3426,467,
29.3475,468,
29.2849,469,
29.2226,470,
29.1606,471,
29.1415,472,
29.0799,473,
29.0186,474,
29.0098,475,
28.9726,476,
28.9119,477,
28.9229,478,
28.878,479,
28.9397,480,
28.8795,481,
29.0976,482,
29.0374,483,
28.9774,484,
28.9504,485,
28.9846,486,
29.1194,487,
29.0597,488,
29.0133,489,
29.0469,490,
29.0211,491,
29.0483,492,
29.055,493,
29.0639,494,
29.0932,495,
29.0345,496,
28.9761,497,
28.9179,498,
28.9031,499,
28.9057,500,
28.9009,501,
28.8576,502,
28.8002,503,
28.7431,504,
28.7461,505,
28.6893,506,
28.7148,507,
28.6583,508,
28.602,509,
28.6071,510,
28.5512,511,
28.7016,512,
28.6751,513,
28.6718,514,
28.7788,515,
28.723,516,
28.7145,517,
28.7334,518,
28.7091,519,
28.6539,520,
28.6219,521,
28.6014,522,
28.6345,523,
28.5799,524,
28.5485,525,
28.7626,526,
28.7344,527,
28.6883,528,
28.6573,529,
28.6816,530,
28.6276,531,
28.5738,532,
28.5337,533,
28.6645,534,
28.8382,535,
28.7844,536,
28.7308,537,
28.6774,538,
28.6584,539,
28.6054,540,
28.5853,541,
28.5326,542,
28.5901,543,
28.5504,544,
28.5177,545,
28.4733,546,
28.4897,547,
28.4792,548,
28.5512,549,
28.5788,550,
28.6333,551,
28.646,552,
28.6093,553,
28.7299,554,
28.7239,555,
28.684,556,
28.6676,557,
28.6395,558,
28.6048,559,
28.5537,560,
28.5028,561,
28.4709,562,
28.4457,563,
28.3986,564,
28.3483,565,
28.2982,566,
28.3387,567,
28.3215,568,
28.328,569,
28.3933,570,
28.3436,571,
28.359,572,
28.3098,573,
28.2743,574,
28.2251,575,
28.1993,576,
28.1504,577,
28.1882,578,
28.1667,579,
28.1181,580,
28.0703,581,
28.0762,582,
28.0467,583,
27.9987,584,
28.1557,585,
28.1077,586,
28.1452,587,
28.2726,588,
28.2246,589,
28.2199,590,
28.1722,591,
28.134,592,
28.09,593,
28.0715,594,
28.1187,595,
28.1689,596,
28.1873,597,
28.1475,598,
28.1862,599,
28.1859,600,
28.139,601,
28.0922,602,
28.0457,603,
28.074,604,
28.0276,605,
28.0109,606,
28.1158,607,
28.0695,608,
28.0234,609,
27.9775,610,
27.99,611,
28.004,612,
27.9843,613,
27.9388,614,
27.9538,615,
27.9208,616,
27.8756,617,
27.8305,618,
27.8043,619,
27.7821,620,
27.8418,621,
28.0241,622,
27.9988,623,
27.9539,624,
27.9384,625,
27.8938,626,
27.9178,627,
27.9118,628,
27.9557,629,
27.9183,630,
27.874,631,
27.8605,632,
27.8342,633,
27.805,634,
28.0279,635,
28.1792,636,
28.2323,637,
28.2925,638,
28.2533,639,
28.2092,640,
28.5701,641,
28.5705,642,
28.5478,643,
28.6483,644,
28.6575,645,
28.6966,646,
28.6827,647,
28.6731,648,
28.6289,649,
28.7424,650,
28.783,651,
28.7389,652,
28.6949,653,
28.6591,654,
28.6154,655,
28.5718,656,
28.5554,657,
28.512,658,
28.5013,659,
28.5546,660,
28.5382,661,
28.5444,662,
28.5626,663,
28.5731,664,
28.5301,665,
28.4873,666,
28.4929,667,
28.4584,668,
28.4159,669,
28.3735,670,
28.4613,671,
28.4189,672,
28.3882,673,
28.3811,674,
28.3391,675,
28.2971,676,
28.3065,677,
28.3302,678,
28.3436,679,
28.3019,680,
28.2955,681,
28.3855,682,
28.4786,683,
28.4534,684,
28.4364,685,
28.4785,686,
28.5627,687,
28.5577,688,
28.5725,689,
28.557,690,
28.5384,691,
28.4971,692,
28.6566,693,
28.6478,694,
28.6078,695,
28.5938,696,
28.6037,697,
28.6083,698,
28.5674,699,
28.5556,700,
28.5518,701,
28.5566,702,
28.5387,703,
28.5299,704,
28.5233,705,
28.4999,706,
28.4596,707,
28.4427,708,
28.4588,709,
28.4187,710,
28.3787,711,
28.3643,712,
28.3299,713,
28.2902,714,
28.2507,715,
28.2112,716,
28.1829,717,
28.1724,718,
28.1675,719,
28.1644,720,
28.2577,721,
28.2822,722,
28.2671,723,
28.2493,724,
28.2516,725,
28.2614,726,
28.2357,727,
28.218,728,
28.1996,729,
28.2117,730,
28.1993,731,
28.1621,732,
28.1584,733,
28.1217,734,
28.1326,735,
28.1199,736,
28.2139,737,
28.1757,738,
28.1511,739,
28.1464,740,
28.173,741,
28.252,742,
28.259,743,
28.2951,744,
28.2821,745,
28.2442,746,
28.2064,747,
28.2723,748,
28.2346,749,
28.237,750,
28.1994,751,
28.2894,752,
28.253,753,
28.3007,754,
28.2648,755,
28.3708,756,
28.3556,757,
28.3182,758,
28.2944,759,
28.3045,760,
28.2826,761,
28.2455,762,
28.2675,763,
28.2305,764,
28.2093,765,
28.1795,766,
28.1457,767,
28.166,768,
28.1358,769,
28.1051,770,
28.0687,771,
28.0614,772,
28.0448,773,
28.0086,774,
27.9724,775,
28.1113,776,
28.1598,777,
28.1439,778,
28.1166,779,
28.147,780,
28.111,781,
28.075,782,
28.0392,783,
28.0034,784,
27.9855,785,
27.9598,786,
28.0155,787,
27.9936,788,
27.9707,789,
27.9733,790,
27.9418,791,
27.9065,792,
27.9391,793,
28.0007,794,
28.0742,795,
28.1372,796,
28.1591,797,
28.1239,798,
28.1167,799,
28.0815,800,
28.1108,801,
28.0983,802,
28.1443,803,
28.1106,804,
28.1592,805,
28.1536,806,
28.1291,807,
28.1602,808,
28.1481,809,
28.235,810,
28.2131,811,
28.2067,812,
28.2241,813,
28.2764,814,
28.2478,815,
28.2132,816,
28.2295,817,
28.2416,818,
28.2929,819,
28.2584,820,
28.269,821,
28.32,822,
28.2933,823,
28.259,824,
28.2247,825,
28.203,826,
28.1689,827,
28.1743,828,
28.1663,829,
28.1968,830,
28.247,831,
28.2678,832,
28.2679,833,
28.3256,834,
28.3755,835,
28.3599,836,
28.326,837,
28.3012,838,
28.2769,839,
28.284,840,
28.2503,841,
28.2168,842,
28.1833,843,
28.1673,844,
28.1775,845,
28.1442,846,
28.121,847,
28.2512,848,
28.2506,849,
28.2567,850,
28.3191,851,
28.2935,852,
28.3358,853,
28.3609,854,
28.3408,855,
28.3077,856,
28.2936,857,
28.2783,858,
28.2601,859,
28.2462,860,
28.2612,861,
28.3373,862,
28.3074,863,
28.2747,864,
28.242,865,
28.2094,866,
28.3297,867,
28.3082,868,
28.2756,869,
28.3805,870,
28.4143,871,
28.3817,872,
28.3492,873,
28.3168,874,
28.2902,875,
28.2838,876,
28.2651,877,
28.2598,878,
28.2406,879,
28.2164,880,
28.1933,881,
28.1896,882,
28.1703,883,
28.1384,884,
28.143,885,
28.3621,886,
28.3701,887,
28.3486,888,
28.3861,889,
28.4158,890,
28.4397,891,
28.416,892,
28.3842,893,
28.369,894,
28.3695,895,
28.3708,896,
28.3719,897,
28.3968,898,
28.3736,899,
28.3491,900,
28.3269,901,
28.3007,902,
28.308,903,
28.2767,904,
28.2476,905,
28.2515,906,
28.2899,907,
28.2625,908,
28.2314,909,
28.228,910,
28.197,911,
28.2616,912,
28.2393,913,
28.2277,914,
28.2028,915,
28.1722,916,
28.1436,917,
28.176,918,
28.1453,919,
28.1455,920,
28.115,921,
28.0988,922,
28.0765,923,
28.0461,924,
28.0627,925,
28.0666,926,
28.0363,927,
28.0599,928,
28.0527,929,
28.0245,930,
28.0053,931,
27.9794,932,
27.9682,933,
27.9791,934,
28.0132,935,
27.9833,936,
27.968,937,
27.946,938,
27.9162,939,
27.8865,940,
27.8569,941,
27.8505,942,
27.8819,943,
27.8636,944,
27.8969,945,
27.8696,946,
27.8401,947,
27.8173,948,
27.8878,949,
27.8836,950,
27.8617,951,
27.8467,952,
27.8464,953,
27.9239,954,
27.9047,955,
27.8755,956,
27.8591,957,
27.8557,958,
27.8707,959,
27.9101,960,
27.881,961,
27.852,962,
27.8559,963,
27.887,964,
27.8822,965,
27.8852,966,
28.014,967,
27.985,968,
28.0464,969,
28.0175,970,
28.1178,971,
28.1076,972,
28.0798,973,
28.0903,974,
28.0861,975,
28.1175,976,
28.1482,977,
28.1511,978,
28.1629,979,
28.1639,980,
28.1411,981,
28.1319,982,
28.1353,983,
28.1108,984,
28.1504,985,
28.1341,986,
28.1924,987,
28.1649,988,
28.2455,989,
28.2169,990,
28.1987,991,
28.2293,992,
28.3205,993,
28.2967,994,
28.2868,995,
28.2777,996,
28.304,997,
28.3679,998,
28.3709,999,
28.3425,1000,
28.4137,1001,
28.4099,1002,
28.3816,1003,
28.3533,1004,
28.3975,1005,
28.3693,1006,
28.3411,1007,
28.371,1008,
28.3678,1009,
28.3666,1010,
28.3969,1011,
28.4008,1012,
28.3812,1013,
28.4201,1014,
28.4234,1015,
28.3954,1016,
28.3675,1017,
28.3719,1018,
28.3713,1019,
28.3561,1020,
28.3505,1021,
28.3227,1022,
28.3007,1023,
28.3348,1024,
28.3141,1025,
28.3169,1026,
28.3115,1027,
28.2839,1028,
28.297,1029,
28.2706,1030,
28.2549,1031,
28.2276,1032,
28.2002,1033,
28.2471,1034,
28.4087,1035,
28.4047,1036,
28.3774,1037,
28.3833,1038,
28.3708,1039,
28.3648,1040,
28.4106,1041,
28.3944,1042,
28.4001,1043,
28.3729,1044,
28.36,1045,
28.3336,1046,
28.4058,1047,
28.3787,1048,
28.4557,1049,
28.4425,1050,
28.4154,1051,
28.5001,1052,
28.5336,1053,
28.5065,1054,
28.4795,1055,
28.4977,1056,
28.4708,1057,
28.5534,1058,
28.5539,1059,
28.5481,1060,
28.5212,1061,
28.4944,1062,
28.5201,1063,
28.5089,1064,
28.5108,1065,
28.4998,1066,
28.4904,1067,
28.4637,1068,
28.511,1069,
28.5142,1070,
28.4886,1071,
28.4697,1072,
28.4511,1073,
28.4779,1074,
28.4515,1075,
28.425,1076,
28.4352,1077,
28.4364,1078,
28.41,1079,
28.4407,1080,
28.4144,1081,
28.3881,1082,
28.3619,1083,
28.3417,1084,
28.3591,1085,
28.3682,1086,
28.3713,1087,
28.3665,1088,
28.3458,1089,
28.3197,1090,
28.2956,1091,
28.2697,1092,
28.2438,1093,
28.2475,1094,
28.2303,1095,
28.2709,1096,
28.2661,1097,
28.2451,1098,
28.2301,1099,
28.2368,1100,
28.2639,1101,
28.2831,1102,
28.3133,1103,
28.2889,1104,
28.2635,1105,
28.238,1106,
28.2297,1107,
28.2042,1108,
28.4484,1109,
28.4611,1110,
28.4354,1111,
28.4099,1112,
28.3941,1113,
28.41,1114,
28.3845,1115,
28.3694,1116,
28.344,1117,
28.4007,1118,
28.3753,1119,
28.3503,1120,
28.3384,1121,
28.3573,1122,
28.3321,1123,
28.3069,1124,
28.2829,1125,
28.2647,1126,
28.2396,1127,
28.2956,1128,
28.3101,1129,
28.3085,1130,
28.3035,1131,
28.2839,1132,
28.3305,1133,
28.3055,1134,
28.2805,1135,
28.299,1136,
28.3053,1137,
28.2804,1138,
28.2927,1139,
28.2678,1140,
28.3095,1141,
28.3113,1142,
28.2914,1143,
28.2735,1144,
28.2488,1145,
28.2281,1146,
28.2035,1147,
28.2521,1148,
28.2695,1149,
28.2524,1150,
28.2623,1151,
28.2876,1152,
28.3236,1153,
28.2991,1154,
28.2792,1155,
28.3413,1156,
28.3225,1157,
28.3031,1158,
28.2787,1159,
28.2735,1160,
28.2894,1161,
28.317,1162,
28.3063,1163,
28.3287,1164,
28.3294,1165,
28.315,1166,
28.2958,1167,
28.2764,1168,
28.2534,1169,
28.303,1170,
